Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"A Metamodeling and Transformation Approach for Knowledge Extraction","Networked Digital Technologies","","","","10.1007/978-3-642-30567-2_6","Inaya LahoudDavy MonticoloVincent HilaireSamuel Gomes","2012","http://link.springer.com/chapter/10.1007/978-3-642-30567-2_6","Chapter"
"Conceptual Graphs and Metamodeling","Conceptual Structures: Broadening the Base","","","","10.1007/3-540-44583-8_18","Olivier GerbéGuy W. MineauRudolf K. Keller","2001","http://link.springer.com/chapter/10.1007/3-540-44583-8_18","Chapter"
"An output mapping variable fidelity metamodeling approach based on nested Latin hypercube design for complex engineering design optimization","Applied Intelligence","","48","10","10.1007/s10489-018-1164-8","Jun Zheng","2018","http://link.springer.com/article/10.1007/s10489-018-1164-8","Article"
"An Experimental and Metamodeling Approach to Tensile Properties of Natural Fibers Composites","Journal of Polymers and the Environment","","30","10","10.1007/s10924-022-02514-1","Mohamad AlhijaziBabak SafaeiQasim ZeeshanMohammed AsmaelMohammad HarbZhaoye Qin","2022","http://link.springer.com/article/10.1007/s10924-022-02514-1","Article"
"Identification of Material Models of Nanocoatings System Using the Metamodeling Approach","System Modeling and Optimization","","","","10.1007/978-3-642-04802-9_18","Magdalena KopernikAndrzej StanisławczykJan KusiakMaciej Pietrzyk","2009","http://link.springer.com/chapter/10.1007/978-3-642-04802-9_18","Chapter"
"A Quality Model of Metamodeling Systems","Emerging Trends in Computing, Informatics, Systems Sciences, and Engineering","","","","10.1007/978-1-4614-3558-7_46","Rünno SgirkaErki Eessaar","2013","http://link.springer.com/chapter/10.1007/978-1-4614-3558-7_46","Chapter"
"Metamodeling-Based Semantic Web Languages","E-Commerce and Web Technologies","","","","10.1007/978-3-540-45229-4_33","Wenming WuYisheng Dong","2003","http://link.springer.com/chapter/10.1007/978-3-540-45229-4_33","Chapter"
"Adaptive Distributed Metamodeling","High Performance Computing for Computational Science - VECPAR 2006","","","","10.1007/978-3-540-71351-7_45","Dirk GorissenKarel CrombecqWouter HendrickxTom Dhaene","2007","http://link.springer.com/chapter/10.1007/978-3-540-71351-7_45","Chapter"
"An optimizing OCL Compiler for Metamodeling and Model Transformation Environments","Software Engineering Techniques: Design for Quality","","","","10.1007/978-0-387-39388-9_6","Gergely MezeiTihamér LevendovszkyHassan Charaf","2007","http://link.springer.com/chapter/10.1007/978-0-387-39388-9_6","Chapter"
"Formalism-Independent Specification of Ontology Mappings – A Metamodeling Approach","On the Move to Meaningful Internet Systems 2006: CoopIS, DOA, GADA, and ODBASE","","","","10.1007/11914853_56","Saartje BrockmansPeter HaaseHeiner Stuckenschmidt","2006","http://link.springer.com/chapter/10.1007/11914853_56","Chapter"
"Metamodeling","System Design Modeling and Metamodeling","","","","10.1007/978-1-4899-0676-2_12","John P. van Gigch","1991","http://link.springer.com/chapter/10.1007/978-1-4899-0676-2_12","Chapter"
"From Business Engineering to Digital Engineering: The Role of Metamodeling in Digital Transformation","Engineering the Transformation of the Enterprise","","","","10.1007/978-3-030-84655-8_4","Susanne LeistDimitris KaragiannisFlorian JohannsenHans-Gert Penzel","2021","http://link.springer.com/chapter/10.1007/978-3-030-84655-8_4","Chapter"
"Metamodeling and Machine Learning","Aging, Shaking, and Cracking of Infrastructures","","","","10.1007/978-3-030-57434-5_20","Victor E. SaoumaM. Amin Hariri-Ardebili","2021","http://link.springer.com/chapter/10.1007/978-3-030-57434-5_20","Chapter"
"Project Management in Small-Sized Software Enterprises: A Metamodeling-Based Approach","Trends and Applications in Software Engineering","","","","10.1007/978-3-319-26285-7_1","I. GarciaC. PachecoM. ArcillaN. Sanchez","2016","http://link.springer.com/chapter/10.1007/978-3-319-26285-7_1","Chapter"
"Quasi-Monte Carlo and RBF Metamodeling for Quantile Estimation in River Bed Morphodynamics","Simulation and Modeling Methodologies, Technologies and Applications","","","","10.1007/978-3-319-11457-6_15","Tanja CleesIgor NikitinLialia NikitinaSabine Pott","2015","http://link.springer.com/chapter/10.1007/978-3-319-11457-6_15","Chapter"
"The Modelica Object-Oriented Equation-Based Language and Its OpenModelica Environment with MetaModeling, Interoperability, and Parallel Execution","Simulation, Modeling, and Programming for Autonomous Robots","","","","10.1007/978-3-642-17319-6_4","Peter Fritzson","2010","http://link.springer.com/chapter/10.1007/978-3-642-17319-6_4","Chapter"
"Conceptual Graphs, Metamodeling, and Notation of Concepts","Conceptual Structures: Logical, Linguistic, and Computational Issues","","","","10.1007/10722280_11","Olivier GerbéGuy W. MineauRudolf K. Keller","2000","http://link.springer.com/chapter/10.1007/10722280_11","Chapter"
"Credit Risk Analysis with a SVM-based Metamodeling Ensemble Approach","Bio-Inspired Credit Risk Analysis","","","","10.1007/978-3-540-77803-5_9","","2008","http://link.springer.com/chapter/10.1007/978-3-540-77803-5_9","Chapter"
"Physics-informed machine learning for metamodeling thermal comfort in non-air-conditioned buildings","Building Simulation","","","","10.1007/s12273-022-0931-y","Issa Jaffal","2022","http://link.springer.com/article/10.1007/s12273-022-0931-y","Article"
"Towards a Metamodeling Based Method for Representing and Selecting Grid Services","Grid Services Engineering and Management","","","","10.1007/978-3-540-30190-5_6","Sergio AndreozziPaolo CiancariniDanilo MontesiRocco Moretti","2004","http://link.springer.com/chapter/10.1007/978-3-540-30190-5_6","Chapter"
"Metamodeling of mean radiant temperature to optimize glass facade design in PMV-based comfort controlled space","Building Simulation","","13","2","10.1007/s12273-019-0580-y","Abed Al-Waheed HawilaAbdelatif MerabtineNadège Troussier","2020","http://link.springer.com/article/10.1007/s12273-019-0580-y","Article"
"Ladder Metamodeling and PLC Program Validation through Time Petri Nets","Model Driven Architecture – Foundations and Applications","","","","10.1007/978-3-540-69100-6_9","Darlam Fabio BenderBenoît CombemaleXavier CrégutJean Marie FarinesBernard BerthomieuFrançois Vernadat","2008","http://link.springer.com/chapter/10.1007/978-3-540-69100-6_9","Chapter"
"Metamodeling and multicriteria analysis for sustainable and passive residential building refurbishment: A case study of French housing stock","Building Simulation","","15","3","10.1007/s12273-021-0806-7","Zaid RomaniAbdeslam DraouiFrancis Allard","2022","http://link.springer.com/article/10.1007/s12273-021-0806-7","Article"
"A retrospective on Telos as a metamodeling language for requirements engineering","Requirements Engineering","","26","1","10.1007/s00766-020-00329-x","Manolis KoubarakisAlexander BorgidaPanos ConstantopoulosMartin DoerrMatthias JarkeManfred A. JeusfeldJohn MylopoulosDimitris Plexousakis","2021","http://link.springer.com/article/10.1007/s00766-020-00329-x","Article"
"Epistemology and Integrating Metamodeling Theory into the Research Design","A Metamodel for Heritage-based Urban Development","","","","10.1007/978-3-031-08238-2_6","Matthias Ripp","2022","http://link.springer.com/chapter/10.1007/978-3-031-08238-2_6","Chapter"
"Integrated Metamodeling and Diagnosis in OWL 2","The Semantic Web – ISWC 2010","","","","10.1007/978-3-642-17746-0_17","Birte GlimmSebastian RudolphJohanna Völker","2010","http://link.springer.com/chapter/10.1007/978-3-642-17746-0_17","Chapter"
"Adaptive Object-Models and Metamodeling Techniques","Object-Oriented Technology","","","","10.1007/3-540-47853-1_5","Nicolas RevaultJoseph W. Yoder","2002","http://link.springer.com/chapter/10.1007/3-540-47853-1_5","Chapter"
"Ontology-Based Metamodeling","Business Information Systems and Technology 4.0","","","","10.1007/978-3-319-74322-6_12","Knut HinkelmannEmanuele LaurenziAndreas MartinBarbara Thönssen","2018","http://link.springer.com/chapter/10.1007/978-3-319-74322-6_12","Chapter"
"Toward Adapting Metamodeling Approach for Legacy to Cloud Migration","Ambient Communications and Computer Systems","","","","10.1007/978-981-13-5934-7_25","Pooja ParnamiAman JainNavneet Sharma","2019","http://link.springer.com/chapter/10.1007/978-981-13-5934-7_25","Chapter"
"Engineering Semantic Composability Based on Ontological Metamodeling","Simulation Tools and Techniques","","","","10.1007/978-3-030-72792-5_46","Zhi ZhuNing ZhuYongling LeiQun LiHuabing Wang","2021","http://link.springer.com/chapter/10.1007/978-3-030-72792-5_46","Chapter"
"Dependability Argument Metamodeling of Networked Software","Proceedings of 2022 10th China Conference on Command and Control","","","","10.1007/978-981-19-6052-9_33","Shuanqi WangXiuhua WuHang YuZhibo LiWei Wu","2022","http://link.springer.com/chapter/10.1007/978-981-19-6052-9_33","Chapter"
"Advanced Metamodeling Techniques Applied to Multidimensional Applications with Piecewise Responses","Machine Learning, Optimization, and Big Data","","","","10.1007/978-3-319-27926-8_9","Toufik Al KhawliUrs EppeltWolfgang Schulz","2015","http://link.springer.com/chapter/10.1007/978-3-319-27926-8_9","Chapter"
"Pareto-Based Multi-output Metamodeling with Active Learning","Engineering Applications of Neural Networks","","","","10.1007/978-3-642-03969-0_36","Dirk GorissenIvo CouckuytEric LaermansTom Dhaene","2009","http://link.springer.com/chapter/10.1007/978-3-642-03969-0_36","Chapter"
"A survey of adaptive sampling for global metamodeling in support of simulation-based complex engineering design","Structural and Multidisciplinary Optimization","","57","1","10.1007/s00158-017-1739-8","Haitao LiuYew-Soon OngJianfei Cai","2018","http://link.springer.com/article/10.1007/s00158-017-1739-8","Article"
"Comparison of metamodeling techniques in evolutionary algorithms","Soft Computing","","21","19","10.1007/s00500-016-2140-z","Alan Díaz-ManríquezGregorio ToscanoCarlos A. Coello Coello","2017","http://link.springer.com/article/10.1007/s00500-016-2140-z","Article"
"Metamodeling-based simulation optimization in manufacturing problems: a comparative study","The International Journal of Advanced Manufacturing Technology","","120","7 - 8","10.1007/s00170-022-09072-9","João Victor Soares do AmaralRafael de Carvalho MirandaJosé Arnaldo Barra MontevechiCarlos Henrique dos SantosGustavo Teodoro Gabriel","2022","http://link.springer.com/article/10.1007/s00170-022-09072-9","Article"
"Metamodeling-based parametric optimization of DBD plasma actuation to suppress flow separation over a wind turbine airfoil model","Acta Mechanica Sinica","","36","2","10.1007/s10409-020-00951-6","Ramsankar VeerakumarVishal RaulYang LiuXiaodong WangLeifur LeifssonHui Hu","2020","http://link.springer.com/article/10.1007/s10409-020-00951-6","Article"
"Comparative study of HDMRs and other popular metamodeling techniques for high dimensional problems","Structural and Multidisciplinary Optimization","","59","1","10.1007/s00158-018-2046-8","Liming ChenHu WangFan YeWei Hu","2019","http://link.springer.com/article/10.1007/s00158-018-2046-8","Article"
"Directional Grid-Based Search for Simulation Metamodeling Using Active Learning","Intelligent Transport Systems. From Research and Development to the Market Uptake","","","","10.1007/978-3-030-38822-5_3","Francisco AntunesFrancisco PereiraBernardete Ribeiro","2020","http://link.springer.com/chapter/10.1007/978-3-030-38822-5_3","Chapter"
"Reifying Concurrency for Executable Metamodeling","Software Language Engineering","","","","10.1007/978-3-319-02654-1_20","Benoît CombemaleJulien De AntoniMatias Vara LarsenFrédéric MalletOlivier BaraisBenoit BaudryRobert B. France","2013","http://link.springer.com/chapter/10.1007/978-3-319-02654-1_20","Chapter"
"Deep learning-based efficient metamodeling via domain knowledge-integrated designable data augmentation with transfer learning: application to vehicle crash safety","Structural and Multidisciplinary Optimization","","65","7","10.1007/s00158-022-03290-1","Yeongmin YooChang-Kyu ParkJongsoo Lee","2022","http://link.springer.com/article/10.1007/s00158-022-03290-1","Article"
"Evaluating the Effectiveness of Metamodeling in Emulating Quantitative Models","Quantitative Evaluation of Systems","","","","10.1007/978-3-030-85172-9_7","Michael RauschWilliam H. Sanders","2021","http://link.springer.com/chapter/10.1007/978-3-030-85172-9_7","Chapter"
"A Web-Based Collaborative Metamodeling Environment with Secure Remote Model Access","Web Engineering","","","","10.1007/978-3-642-13911-6_19","Matthias FarwickBerthold AgreiterJules WhiteSimon ForsterNorbert LanzanastoRuth Breu","2010","http://link.springer.com/chapter/10.1007/978-3-642-13911-6_19","Chapter"
"A Tutorial Introduction to Graphical Modeling and Metamodeling with CINCO","Leveraging Applications of Formal Methods, Verification and Validation. Modeling","","","","10.1007/978-3-030-03418-4_31","Michael LybecaitDawid KopetzkiPhilip ZweihoffAnnika FuhgeStefan NaujokatBernhard Steffen","2018","http://link.springer.com/chapter/10.1007/978-3-030-03418-4_31","Chapter"
"Bridging the Chasm between Executable Metamodeling and Models of Computation","Software Language Engineering","","","","10.1007/978-3-642-36089-3_11","Benoît CombemaleCécile HardebolleChristophe JacquetFrédéric BoulangerBenoit Baudry","2013","http://link.springer.com/chapter/10.1007/978-3-642-36089-3_11","Chapter"
"Classifying Metamodeling Methods for Evolutionary Multi-objective Optimization: First Results","Evolutionary Multi-Criterion Optimization","","","","10.1007/978-3-319-54157-0_12","Kalyanmoy DebRayan HusseinProteek RoyGregorio Toscano","2017","http://link.springer.com/chapter/10.1007/978-3-319-54157-0_12","Chapter"
"TemporalEMF: A Temporal Metamodeling Framework","Conceptual Modeling","","","","10.1007/978-3-030-00847-5_26","Abel GómezJordi CabotManuel Wimmer","2018","http://link.springer.com/chapter/10.1007/978-3-030-00847-5_26","Chapter"
"Simplifying OMG MOF-Based Metamodeling","Leveraging Applications of Formal Methods, Verification and Validation: Discussion, Dissemination, Applications","","","","10.1007/978-3-319-47169-3_8","Nicolas F. Rouquette","2016","http://link.springer.com/chapter/10.1007/978-3-319-47169-3_8","Chapter"
